Year,Common #,Indi. #,Risk factor,Formation,Type,Journal,Short reference,Full reference,Link without href,Predictability.in.OP,Coverage,New Journal,notes
2000,30,NA,Coskewness,Excess return on a portfolio which long stocks with low past coskewness,Common financial,Journal of Finance,Harvey and Siddique (2000),"Harvey, Campbell and Akhtar Siddique, 2000, ``Conditional skewness in asset pricing tests"", Journal of Finance 55, 1263-1295.",http://www.jstor.org/stable/10.2307/222452,1_clear,done!,NA,NA
1999,NA,NA,Debt offerings,Whether a firm makes straight and convertible debt offerings,Individual financial,Journal of Financial Economics,Spiess and Affleck-Graves (1999),"Spiess, Katherine and John Affleck-Graves, 1995, The long-run performance of stock returns following debt offerings, Journal of Financial Economics 54, 45-73.",http://www.sciencedirect.com/science/article/pii/S0304405X99000318,1_clear,done!,NA,NA
2006,53,NA,Downside risk,Correlation with index return conditional on index return being below a threshold value,Common financial,Review of Financial Studies,"Ang, Chen and Xing (2006)","Ang, Andrew, Joseph Chen and Yuhang Xing, 2006, ``Downside risk"", Review of Financial Studies 19, 1191-1239.",http://www.jstor.org/stable/pdfplus/4123472.pdf,1_clear,done!,NA,NA
2006,60,NA,Earnings,Return on a zero-investment portfolio long in stocks with high earnings surprises and short in stocks with low earnings surprises,Common accounting,Journal of Financial Economics,Chordia and Shivakumar (2006),"Chordia, Tarun and Lakshmanan Shivakumar, 2006, ``Earnings and price momentum"", Journal of Financial Economics 80, 627-656.",http://www.sciencedirect.com/science/article/pii/S0304405X05002175#,1_clear,done!,NA,Same as earnings surprise
2008,NA,NA,Earnings announcement return,Earnings announcement return capturing the market reaction to unexpected information contained in the firm's earnings release,Individual financial,Working Paper,"Brandt, Kishore, Santa-Clara and Venkatachalam (2008)","Brandt, Michael, Runeet Kishore, Pedro Santa-Clara and Mohan Venkatachalam, Earnings announcements are full of surprises, Working Paper, Duke University.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=909563,1_clear,done!,WP,"We cite Chan, Jegadeesh, Lakonoshok.  Brandt et al say Chan et al do something very similar"
1984,NA,NA,Earnings expectations,Consensus earnings expectations,Individual accounting,Financial Analyst Journal,"Hawkins, Chamberlin and Daniel (1984)","Hawkins, Eugene, Stanley Chamberlin and Wayne Daniel, 1984, Earnings expectations and security prices, Financial Analysts Journal, Sep.-Oct., 24-39.",http://www.jstor.org/stable/pdfplus/4478772.pdf?acceptTC=true,1_clear,done!,NA,"Could be called maybe, as their data is only 5 years long.  We cite Chan, Jegadeesh, and Lakonishok 1996.  CJL don't cite HCD though."
NA,NA,NA,Financial constraints,Kaplan and Zingales (1997) financial constraint index,Individual financial,Review of Financial Studies,Li (2011),"Li, Dongmei, 2011, ``Financial constraints, R&D investment, and stock returns"", Review of Financial Studies 24, 2975-3007.",http://rfs.oxfordjournals.org/content/24/9/2974.full.pdf+html,1_clear,done!,NA,NA
2012,93,NA,Financial intermediary's wealth,Intermediary's marginal value of wealth proxied by shocks to leverage of securities broker-dealers,Common financial,Journal of Finance,"Adrian, Etula and Muir (2012)","Adrian, Tobias, Erkko Etula and Tyler Muir, 2012,  ``Financial Intermediaries and the Cross-Section of Asset Returns"", Journal of Finance.",http://www.ny.frb.org/research/staff_reports/sr464.pdf,1_clear,done!,NA,NA
1998,NA,NA,Firm fundamental value,Firms' fundamental values estimated from I/B/E/S consensus forecasts and a residual income model,Individual accounting,Journal of Accounting and Economics,Frankel and Lee (1998),"Frankel, Richard and Charles Lee, 1998, ``Accounting valuation, market expectation, and cross-sectional stock returns"", Journal of Accounting and Economics 25, 283-319.",http://www.sciencedirect.com/science/article/pii/S0165410198000263,1_clear,done!,NA,NA
1998,NA,NA,Fundamental analysis,"Investment signals constructed using a collection of variables that relate to contemporaneous changes in inventories, accounts receivables, gross margins, selling expenses, capital  expenditures, effective tax rates, inventory methods, audit qualifications, and labor force sales productivity.",Individual accounting,Accounting Review,Abarbanell and Bushee (1998),"Abarbanell, J.S., and B.J. Bushee, 1998, Abnormal returns to a fundamental analysis strategy, Accounting Review 73, 19-45.",http://www.jstor.org/stable/248340,1_clear,done!,NA,NA
2003,NA,NA,Idiosyncratic return volatility,Residual variance obtained by regressing daily stock returns on market index return,Individual financial,Journal of Financial Economics,"Ali, Hwang and Trombley (2003)","Ali, Ashiq, Lee-Seok Hwang and Mark A. Trombley, 2003, ``Arbitrage risk and the book-to-market anomaly"", Journal of Financial Economics 69, 355-373.",http://www.sciencedirect.com/science/article/pii/S0304405X03001168,1_clear,done!,NA,NA
NA,NA,NA,Index option return,Index option return and its square,Common financial,Review of Financial Studies,Vanden (2006),"Vanden, Joel M., 2006, ``Option coskewness and capital asset pricing"", Review of Financial Studies 19, 1279-1320.",http://www.jstor.org/stable/pdfplus/4123474.pdf,1_clear,done!,NA,NA
NA,39,NA,Index option returns,Return on S\&P 500 index option,Common financial,Review of Financial Studies,Vanden (2004),"Vanden, Joel M., 2004, ``Options trading and the CAPM"", Review of Financial Studies 17, 207-238.",http://www.jstor.org/stable/pdfplus/1262673.pdf,1_clear,done!,NA,NA
NA,5,NA,Industrial production growth,Seasonally adjusted monthly growth rate of industrial production,Common macro,Journal of Financial Economics,"Chan, Chen and Hsieh (1985)","Chan, K. C., Nai-fu Chen and David A. Hsieh, 1985, ``An exploratory investigation of the firm size effect"", Journal of Financial Economics 14, 451-471.",http://www.sciencedirect.com/science/article/pii/0304405X8590008X,1_clear,done!,NA,NA
1983,NA,NA,Institutional holding,Institutional concentration rankings from Standard and Poor's,Individual other,Financial Analyst Journal,"Arbel, Carvell and Strebel (1983)","Arbel, Avner, Steven Carvell and Paul Strebel, 1983, Giraffes, institutions and neglected firms, Financial Analysts Journal 39, 57-63.",http://www.jstor.org/stable/pdfplus/4478647.pdf?acceptTC=true,1_clear,done!,NA,"They use specialized data, could be considered different.  We use 13F and cite Chen, Hong, and Stein 2002"
NA,NA,NA,Interest rate,Treasury bill rate less 1-year moving average,Common financial,Journal of Political Economy,Campbell (1996),"Campbell, John Y., 1996,  ``Understanding risk and return"", Journal of Political Economy 104, 298-345.",http://dash.harvard.edu/bitstream/handle/1/3153293/campbell_risk.pdf,1_clear,done!,NA,NA
NA,NA,NA,Investor sophistication,Number of analysts or institutional owners,Individual accounting,Journal of Financial Economics,"Ali, Hwang and Trombley (2003)","Ali, Ashiq, Lee-Seok Hwang and Mark A. Trombley, 2003, ``Arbitrage risk and the book-to-market anomaly"", Journal of Financial Economics 69, 355-373.",http://www.sciencedirect.com/science/article/pii/S0304405X03001168,1_clear,done!,NA,NA
NA,NA,NA,Labor income growth,Smoothed labor income growth rate,Common financial,Journal of Finance,Dittmar (2002),"Dittmar, Robert F., 2002, ``Nonlinear pricing kernels, kurtosis preference, and evidence from the cross section of equity returns"", Journal of Finance 57, 369-403.",http://www.jstor.org/stable/pdfplus/2697843.pdf,1_clear,done!,NA,NA
2006,61,NA,Liquidity,Turnover-adjusted number of days with zero trading over the prior 12 months,Common microstructure,Journal of Financial Economics,Liu (2006),"Liu, Weimin, 2006, ``A liquidity-augmented capital asset pricing model"", Journal of Financial Economics 82, 631-671.",http://www.sciencedirect.com/science/article/pii/S0304405X0600064X#,1_clear,done!,NA,NA
2002,33,NA,Market illiquidity,Average over the year of the daily ratio of the stock's absolute return to its dollar trading volume,Common microstructure,Journal of Financial Markets,Amihud (2002),"Amihud, Yakov, 2002, Illiquidity and stock returns: cross-section and time-series effects, Journal of Financial Markets 5, 31-56.",http://www.sciencedirect.com/science/article/pii/S1386418101000246,1_clear,done!,NA,NA
2003,35,NA,Market liquidity,Aggregated liquidity based on firm future excess stock return regressed on current signed excess return times trading volume,Common microstructure,Journal of Political Economy,Pastor and Stambaugh (2003),"Pastor, Lubos and Robert F Stambaugh, 2003, ``Liquidity risk and expected stock returns"", Journal of Political Economy 111, 643-685.",http://pages.stern.nyu.edu/~lpederse/courses/LAP/papers/TransactionCosts/PastorStam.pdf,1_clear,done!,NA,NA
NA,47,NA,Market liquidity,Value-weighted individual stock illiquidity as defined in Amihud (2002),Common microstructure,Journal of Financial Economics,Acharya and Pedersen (2005),"Acharya, Viral V. and Lasse Heje Pedersen, 2005, ``Asset pricing with liquidity risk"", Journal of Financial Economics 77, 375-410.",http://www.sciencedirect.com/science/article/pii/S0304405X05000334,1_clear,done!,NA,NA
2010,86,NA,Market mispricing,Zero-investment portfolio constructed from repurchasing and issuing firms,Common behavioral,Review of Financial Studies,Hirshleifer and Jiang (2010),"Hirshleifer, David and Danling Jiang, 2010, ``A financing-based misvaluation factor and the cross-section of expected returns"", Review of Financial Studies 23, 3402-3436.",http://rfs.oxfordjournals.org/content/23/9/3401.full.pdf+html,1_clear,done!,NA,NA
1972,1,NA,Market return,Equity index return,Common financial,Studies in the Theory of Capital Markets,"Black, Jensen and Scholes (1972)","Black, Fisher, Michael C Jensen and Myron Scholes, 1972, ``The capital asset pricing model: Some empirical tests"", In Studies in the theory of capital markets, ed. Michael Jensen, pp. 79-121. New York: Praeger.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=908569,1_clear,done!,NA,NA
NA,NA,NA,Market return,Equity index return,Common financial,Journal of Finance,Carhart (1997),"Carhart, Mark M., 1997, ``On persistence in mutual fund performance"", Journal of Finance 52, 57-82.",http://www.iscte.pt/~jpsp/Teaching/AssetPricing_PhD/Carhart%20JF%201997%20Persistence%20in%20Fund%20Performance.pdf,1_clear,done!,NA,NA
1972,NA,NA,Market return,THEORY,Common financial,Journal of Business,Black (1972),"Black, Fischer, 1972, ``Capital market equilibrium with restricted borrowing"", Journal of Business 45, 444-455.",http://www.jstor.org/stable/10.2307/2351499,1_clear,done!,NA,NA
1976,NA,NA,Market return,Equity index return,Common financial,Journal of Finance,Kraus and Litzenberger (1976),"Kraus, Alan and Robert H. Litzenberger, 1976, ``Skewness preference and the valuation of risk assets"", Journal of Finance 31, 1085-1100.
",http://www.jstor.org/stable/2326275.pdf,1_clear,done!,NA,NA
1965,NA,NA,Market return,THEORY,Common financial,Journal of Finance,Lintner(1965),"Lintner, John, 1965, ``Security prices, risk, and maximal gains from diversification"", Journal of Finance 20, 587-615.",http://www.jstor.org/stable/2977249.pdf,1_clear,done!,NA,NA
1964,NA,NA,Market return,THEORY,Common financial,Journal of Finance,Sharpe (1964),"Sharpe, William F., 1964, ``Capital asset prices: A theory of market equilibrium under conditions of risk"", Journal of Finance 19, 425-442.",http://www.jstor.org/stable/2977928.pdf,1_clear,done!,NA,NA
1972,NA,NA,Market return,THEORY,Common financial,Journal of Finance,Heckerman (1972),"Heckerman, Donald G., 1972, ``Portfolio selection and the structure  of capital asset prices when relative prices of consumption goods may change"", Journal of Finance 27, 47-60.",http://www.jstor.org/stable/2978502.pdf,1_clear,done!,NA,NA
1973,NA,NA,Market return,Equity index return,Common financial,Journal of Political Economy,Fama and MacBeth (1973),"Fama, Eugene F. and James D. MacBeth, 1973, ``Risk, return, and equilibrium: Empirical tests"", Journal of Political Economy 81, 607-636.",http://www.jstor.org/stable/pdfplus/1831028.pdf,1_clear,done!,NA,NA
1966,NA,NA,Market return,THEORY,Common financial,Econometrica,Mossin (1966),"Mossin, Jan, 1966,  ``Equilibrium in a Capital Asset Market"", Econometrica 34, 768-783.",http://www.jstor.org/stable/pdfplus/1910098.pdf,1_clear,done!,NA,NA
1996,NA,NA,Market return,Equity index return,Common financial,Journal of Finance,Jagannathan and Wang (1996),"Jagannathan, Ravi and Zhenyu Wang, 1996, ``The conditional CAPM and the cross-section of expected returns"", Journal of Finance 51, 3-53.",http://www.jstor.org/stable/pdfplus/2329301.pdf,1_clear,done!,NA,NA
1991,NA,NA,Market return,Equity index return,Common financial,Journal of Political Economy,Ferson and Harvey (1991),"Ferson, Wayne E. and Campbell R. Harvey, 1991, ``The variation of economic risk premiums"", Journal of Political Economy, 99, 385-415.",http://www.jstor.org/stable/pdfplus/2937686.pdf,1_clear,done!,NA,NA
NA,NA,NA,Market return,Equity index return,Common financial,Review of Financial Studies,"Kumar, Sorescu, Boehme and Danielsen (2008)","Kumar, Praveen, Sorin M. Sorescu, Rodney D. Boehme and Bartley R. Danielsen, 2008, ``Estimation risk, information, and the conditional CAPM: Theory and evidence"", Review of Financial Studies 21, 1037-1075.",http://www.jstor.org/stable/pdfplus/40056844.pdf,1_clear,done!,NA,NA
NA,NA,NA,Market return,Equity index return,Common financial,Journal of Financial Economics,Litzenberger and Ramaswamy (1979),"Litzenberger, Robert H. and Krishna Ramaswamy, 1979, ``The effect of personal taxes and dividends on capital asset prices"", Journal of Financial Economics 7, 163-195.",http://www.sciencedirect.com/science/article/pii/0304405X79900126#,1_clear,done!,NA,NA
2005,NA,NA,Market return,Equity index return,Common financial,Journal of Financial Economics,Acharya and Pedersen (2005),"Acharya, Viral V. and Lasse Heje Pedersen, 2005, ``Asset pricing with liquidity risk"", Journal of Financial Economics 77, 375-410.",http://www.sciencedirect.com/science/article/pii/S0304405X05000334,1_clear,done!,NA,NA
1981,NA,NA,Market return,Equity index return,Common financial,Journal of Finance,"Fogler, John and Tipton (1981)","Fogler, H. Russell, Kose John and James Tipton, 1981, ``Three factors, interest rate differentials and stock groups"", Journal of Finance 36 323-335.",www.jstor.org/stable/pdfplus/2327014.pdf,1_clear,done!,NA,NA
2008,67,NA,Market volatility innovation,Difference in monthly average of squared daily return differences,Common financial,Review of Financial Studies,"Kumar, Sorescu, Boehme and Danielsen (2008)","Kumar, Praveen, Sorin M. Sorescu, Rodney D. Boehme and Bartley R. Danielsen, 2008, ``Estimation risk, information, and the conditional CAPM: Theory and evidence"", Review of Financial Studies 21, 1037-1075.",http://www.jstor.org/stable/pdfplus/40056844.pdf,1_clear,done!,NA,NA
2011,NA,NA,Momentum,Factor-mimicking portfolios based on momentum of international equity returns,Common other,Review of Financial Studies,"Hou, Karolyi and Kho (2011)","Hou, Kewei, G. Andrew Karolyi and Bong-Chan Kho, 2011, ``What factors drive global stock returns?"", Review of Financial Studies 24, 2528-2574.",http://rfs.oxfordjournals.org/content/24/8/2527.full.pdf+html,1_clear,done!,NA,NA
NA,27,NA,Momentum,Return on a zero-investment portfolio long in past winners and short in past losers,Common other,Journal of Finance,Carhart (1997),"Carhart, Mark M., 1997, ``On persistence in mutual fund performance"", Journal of Finance 52, 57-82.",http://www.iscte.pt/~jpsp/Teaching/AssetPricing_PhD/Carhart%20JF%201997%20Persistence%20in%20Fund%20Performance.pdf,1_clear,done!,NA,NA
NA,NA,NA,Momentum,Past cumulative stock return,Individual financial,Journal of Financial Economics,"Brennan, Chordia and Subrahmanyam (1997)","Brennan, Michael J., Tarun Chordia and Avanidhar Subrahmanyam, 1997, ``Alternative factor specifications, security characteristics, and the cross-section of expected stock returns"", Journal of Financial Economics 49, 345-373.",http://www.sciencedirect.com/science/article/pii/S0304405X98000282#,1_clear,done!,NA,NA
2007,62,NA,Payout yield,Return on a zero-investment portfolio long in high-yield stocks and short in low-yield stocks,Common accounting,Journal of Finance,"Boudoukh, Michaely, Richardson and Roberts (2007)","Boudoukh, Jacob, Roni Michaely, Matthew Richardson and Michael R. Roberts, 2007, ``On the importance of measuring payout yield: implications for empirical asset pricing"", Journal of Finance 62, 877-915.",http://www.jstor.org/stable/pdfplus/4622289.pdf,1_clear,done!,NA,NA
1992,NA,NA,Predicted return signs,Return signs predicted by a logit model using financial ratios,Individual accounting,Journal of Accounting & Economics,Holthausen and Larcker (1992),"Holthausen, Robert and David Larcker, 1992, The prediction of stock returns using financial statement information, Journal of Accounting & Economics 15, 373-411.",http://www.sciencedirect.com/science/article/pii/016541019290025W,1_clear,done!,NA,NA
2010,87,NA,Private information,"Return on a zero-investment portfolio long in high PIN stocks and short in low PIN stocks; PIN (private information) is the probability of information-
based trade",Common microstructure,Journal of Financial and Quantitative Analysis,"David, Hvidkjaer and O'Hara (2010)","Easley, David, Soeren Hvidkjaer and Maureen O'Hara, 2010, Factoring returns, Journal of Financial and Quantitative Analysis 45, 293-309.",http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=7785676,1_clear,done!,NA,NA
1992,NA,NA,Return momentum,Size and beta adjusted mean prior five-year returns,Individual financial,Journal of Financial Economics,"Chopra, Lakonishok and Ritter (1992)","Chopra, Navin, Josef Lakonishok and Jay R. Ritter, 1992, Measuring abnormal performance, Journal of Financial Economics 31, 235-268.",http://www.sciencedirect.com/science/article/pii/0304405X9290005I,1_clear,done!,NA,NA
2011,91,NA,Return-on-equity portfolio return,Difference between returns of portfolios with high and low return on equity,Common financial,Working Paper,"Chen, Novy-Marx and Zhang (2011)","Chen, Long, Robert Novy-Marx and Lu Zhang, ``An alternative three-factor model"", Working Paper.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1418117,1_clear,done!,NA,NA
1995,NA,NA,Seasoned equity offerings,Whether a firm makes seasoned equity offerings,Individual financial,Journal of Financial Economics,Spiess and Affleck-Graves (1995),"Spiess, Katherine and John Affleck-Graves, 1995, Underperformance in long-run stock returns following seasoned equity offerings, Journal of Financial Economics 38, 243-267.",http://www.sciencedirect.com/science/article/pii/0304405X9400817K,1_clear,done!,NA,NA
1997,NA,NA,Size,Market value of equity,Individual accounting,Journal of Finance,Daniel and Titman (1997),"Daniel, Kent and Sheridan Titman, 1997, ``Evidence on the characteristics of cross sectional variation in stock returns"", Journal of Finance 52, 1-33.",http://www.jstor.org/stable/pdfplus/2329554.pdf,1_clear,done!,NA,NA
NA,NA,NA,Size,Return on a zero-investment portfolio long in small stocks and short in large stocks,Common accounting,Journal of Financial Economics,Fama and French (1993),"Fama, Eugene F. and Kenneth R. French, 1993, ``Common risk factors in the returns on stocks and bonds"", Journal of Financial Economics 33, 3-56.",http://www.sciencedirect.com/science/article/pii/0304405X93900235#,1_clear,done!,NA,NA
1992,15,NA,Size,Return on a zero-investment portfolio long in small stocks and short in large stocks,Common accounting,Journal of Finance,Fama and French (1992),"Fama, Eugene F. and Kenneth R. French, 1992, ``The cross-section of expected stock returns"", Journal of Finance 47, 427-465.",www.jstor.org/stable/pdfplus/2329112.pdf,1_clear,done!,NA,NA
1997,NA,NA,Size,Return on a zero-investment portfolio long in small stocks and short in large stocks,Common accounting,Journal of Finance,Carhart (1997),"Carhart, Mark M., 1997, ``On persistence in mutual fund performance"", Journal of Finance 52, 57-82.",http://www.iscte.pt/~jpsp/Teaching/AssetPricing_PhD/Carhart%20JF%201997%20Persistence%20in%20Fund%20Performance.pdf,1_clear,done!,NA,NA
1997,NA,NA,Size,Market value of equity,Individual accounting,Journal of Financial Economics,"Brennan, Chordia and Subrahmanyam (1997)","Brennan, Michael J., Tarun Chordia and Avanidhar Subrahmanyam, 1997, ``Alternative factor specifications, security characteristics, and the cross-section of expected stock returns"", Journal of Financial Economics 49, 345-373.",http://www.sciencedirect.com/science/article/pii/S0304405X98000282#,1_clear,done!,NA,NA
2006,54,NA,Systematic volatility,Aggregate volatility relative to Fama and French (1992) three-factor model,Common financial,Journal of Finance,"Ang, Hodrick, Xing and Zhang (2006)","Ang, Andrew, Robert J. Hodrick, Yuhang Xing and Xiaoyan Zhang, 2006, ``The cross-section of volatility and expected returns"", Journal of Finance 61, 259-299.",http://www.jstor.org/stable/pdfplus/3699341.pdf,1_clear,done!,NA,NA
NA,NA,NA,Term structure,Difference in return between long-term government bond and one-month Treasury bill,Common financial,Journal of Financial Economics,Fama and French (1993),"Fama, Eugene F. and Kenneth R. French, 1993, ``Common risk factors in the returns on stocks and bonds"", Journal of Financial Economics 33, 3-56.",http://www.sciencedirect.com/science/article/pii/0304405X93900235#,1_clear,done!,NA,NA
NA,58,NA,Trading volume,Return on a hedge portfolio constructed using trading volume and market returns,Common microstructure,Journal of Finance,Lo and Wang (2006),"Lo, Andrew W. and Jiang Wang, 2006, ``Trading volume: Implications of an intertemporal capital asset pricing model"", Journal of Finance 61, 2805-2840.",http://www.jstor.org/stable/pdfplus/4123445.pdf,1_clear,done!,NA,NA
1981,NA,NA,Transaction costs,THEORY,Individual microstructure,Journal of Finance,Mayshar (1981),"Mayshar, Joram, 1981, ``Transaction costs and the pricing of assets"", Journal of Finance 36, 583-597.",http://www.jstor.org/stable/pdfplus/2327520.pdf,1_clear,done!,NA,NA
NA,NA,NA,Transaction costs,"Bid-ask spread, volume, etc.",Individual microstructure,Journal of Financial Economics,"Ali, Hwang and Trombley (2003)","Ali, Ashiq, Lee-Seok Hwang and Mark A. Trombley, 2003, ``Arbitrage risk and the book-to-market anomaly"", Journal of Financial Economics 69, 355-373.",http://www.sciencedirect.com/science/article/pii/S0304405X03001168,1_clear,done!,NA,NA
NA,NA,NA,Value,Return on a zero-investment portfolio long in growth stocks and short in value stocks,Common accounting,Journal of Finance,Carhart (1997),"Carhart, Mark M., 1997, ``On persistence in mutual fund performance"", Journal of Finance 52, 57-82.",http://www.iscte.pt/~jpsp/Teaching/AssetPricing_PhD/Carhart%20JF%201997%20Persistence%20in%20Fund%20Performance.pdf,1_clear,done!,NA,NA
NA,NA,NA,Value,Book value of equity plus deferred taxes to market value of equity,Individual accounting,Journal of Finance,Daniel and Titman (1997),"Daniel, Kent and Sheridan Titman, 1997, ``Evidence on the characteristics of cross sectional variation in stock returns"", Journal of Finance 52, 1-33.",http://www.jstor.org/stable/pdfplus/2329554.pdf,1_clear,done!,NA,NA
NA,NA,NA,Value,Return on a zero-investment portfolio long in growth stocks and short in value stocks,Common accounting,Journal of Financial Economics,Fama and French (1993),"Fama, Eugene F. and Kenneth R. French, 1993, ``Common risk factors in the returns on stocks and bonds"", Journal of Financial Economics 33, 3-56.",http://www.sciencedirect.com/science/article/pii/0304405X93900235#,1_clear,done!,NA,NA
NA,16,NA,Value,Return on a zero-investment portfolio long in growth stocks and short in value stocks,Common accounting,Journal of Finance,Fama and French (1992),"Fama, Eugene F. and Kenneth R. French, 1992, ``The cross-section of expected stock returns"", Journal of Finance 47, 427-465.",www.jstor.org/stable/pdfplus/2329112.pdf,1_clear,done!,NA,NA
1996,NA,24,Illiquidity,Derivative transaction price with respect to signed trade size,Individual microstructure,Journal of Financial Economics,Brennan and Subrahmanyam (1996),"Brennan, Michael and Avanidhar Subrahmanyam, 1996, Market microstructure and asset pricing: On the compensation for illiquidity in stock returns, Journal of Financial Economics 41, 441-464.",http://www.sciencedirect.com/science/article/pii/0304405X9500870K,1_clear,similar,NA,NA
2000,NA,33,Within-industry size,Difference between firm size and average firm size within the industry,Individual financial,Working Paper,"Asness, Porter and Stevens (2000)","Asness, Clifford, R. Burt Porter and Ross Stevens, 2000, Predicting stock returns using industry-relative firm characteristics, Working Paper, AQR Capital Management.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=213872,1_clear,similar,WP,maybe we shoudl add it
2000,NA,34,Within-industry value,Difference between firm book-to-market ratio and average book-to-market ratio within the industry,Individual accounting,Working Paper,"Asness, Porter and Stevens (2000)","Asness, Clifford, R. Burt Porter and Ross Stevens, 2000, Predicting stock returns using industry-relative firm characteristics, Working Paper, AQR Capital Management.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=213872,1_clear,similar,WP,maybe we shoudl add it
2000,NA,35,Within-industry cashflow to price ratio,Difference between firm cashflow to price ratio and average cashflow to price ratio within the industry,Individual accounting,Working Paper,"Asness, Porter and Stevens (2000)","Asness, Clifford, R. Burt Porter and Ross Stevens, 2000, Predicting stock returns using industry-relative firm characteristics, Working Paper, AQR Capital Management.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=213872,1_clear,similar,WP,maybe we shoudl add it
2000,NA,37,Within-industry momentum,Difference between firm past stock prices and average past stock prices within the industry,Individual financial,Working Paper,"Asness, Porter and Stevens (2000)","Asness, Clifford, R. Burt Porter and Ross Stevens, 2000, Predicting stock returns using industry-relative firm characteristics, Working Paper, AQR Capital Management.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=213872,1_clear,similar,WP,maybe we shoudl add it
2005,NA,69,Information uncertainty,"Information uncertainty proxied by firm age, return volatility, trading volume or cash flow duration",Individual financial,Review of Accounting Studies,"Jiang, Lee and Zhang (2005)","Jiang, Guohua, Charles Lee and Yi Zhang, 2005, Information uncertainty and expected returns, Review of Accounting Studies 10, 185-221.",http://link.springer.com/content/pdf/10.1007%2Fs11142-005-1528-2.pdf,1_clear,similar,NA,NA
2005,NA,71,R&D reporting biases,R&D reporting biases proxied by the difference between R&D growth and earnings growth,Individual accounting,Contemporary Accounting Research,"Lev, Sarath and Sougiannis (2005)","Lev, Baruch, Bharat Sarath and Theodore Sougiannis, 2005, R&D reporting biases and their consequences, Contemporary accounting research 22, 977-1026.",http://onlinelibrary.wiley.com/doi/10.1506/7XMH-QQ74-L6GG-CJRX/pdf,1_clear,similar,NA,NA
2009,NA,113,Realized-implied volatility spread,Difference between past realized volatility and the average of call and put implied volatility,Individual financial,Management Science,Bali and Hovakimian (2009),"Bali, Turan and Armen Hovakimian, 2009, Volatility spreads and expected stock returns, Management Science 2009, 1797-1812.",http://mansci.journal.informs.org/content/55/11/1797.full.pdf,1_clear,similar,NA,NA
NA,NA,114,Call-put implied volatility spread,Difference between call and put implied volatility,Individual financial,Management Science,Bali and Hovakimian (2009),"Bali, Turan and Armen Hovakimian, 2009, Volatility spreads and expected stock returns, Management Science 2009, 1797-1812.",http://mansci.journal.informs.org/content/55/11/1797.full.pdf,1_clear,similar,NA,NA
2010,NA,125,Idiosyncratic skewness,Skewness forecasted using firm level predictive variables,Individual financial,Review of Financial Studies,"Boyer, Mitton and Vorkink (2010)","Boyer, Brian, Todd Mitton and Keith Vorkink, 2010, ``Expected idiosyncratic skewness"", Review of Financial Studies 23, 170-202.",http://rfs.oxfordjournals.org/content/23/1/169.full.pdf+html,1_clear,similar,NA,NA
2010,NA,130,Excess multiple,Excess multiple calculated as the difference between the accounting multiple and the warranted multiple obtained by regressing the cross-section of firm multiples on accounting variables,Individual accounting,"Journal of Accounting, Auditing & Finance","An, Bhojraj and Ng (2010)","An, Jiyoun, Sanjeev Bhojraj and David Ng, 2010, Warranted multiples and future returns, Journal of Accounting, Auditing & Finance 25, 143-169.",http://jaf.sagepub.com/content/25/2/143.short,1_clear,similar,NA,similar to Frontier
2010,NA,133,Intra-industry return reversals,Intra-industry return reversals captured by the return difference between loser stocks and winners stocks based on relative monthly performance within the industry,Individual financial,Working Paper,"Hameed, Huang and Mian (2010)","Hameed, Allaudeen, Joshua Huang and Mujtaba Mian, 2010, Industries and stock return reversals, Working Paper, National University of Singapore.",http://www.ccfr.org.cn/cicf2010/papers/20091213190553.pdf,1_clear,similar,JFQA 2015,A refinement of Mom1m.  Joshua Huang left the paper.
2010,NA,137,Excess cash,Most recently available ratio of cash to total assets,Individual accounting,Financial Management,Simutin (2010),"Simutin, Mikhail, 2010, Excess cash and stock returns, Financial Management 39, 1197-1222.",http://onlinelibrary.wiley.com/doi/10.1111/j.1755-053X.2010.01109.x/full,1_clear,done!,NA,Same as Cash.  Palazzo 2012 says this is simply independent contemporaenous work
2010,NA,138,Extreme downside risk,Extreme downside risk proxied by the left tail index in the classical generalized extreme value distribution,Individual financial,Journal of Banking and Finance,"Huang, Liu, Rhee and Wu (2010)","Huang, Wei, Qianqiu Liu, Ghon Rhee and Feng Wu, 2010, Extreme downside risk and expected stock returns, Journal of Banking & Finance 36, 1492-1502.",http://www.sciencedirect.com/science/article/pii/S0378426611003591,1_clear,similar,NA,"Tail risk measure from daily data.  Similar to MaxRet, ReturnSkew, maybe others."
2011,NA,148,Residual income,Firm residual income growth extracted from firm earnings growth,Individual accounting,Review of Accounting Studies,Balachandran and Mohanram (2011),"Balachandran, Sudhakar and Partha Mohanram, 2011, Using residual income to refine the relationship between earings growth and stock returns, Review of Accounting Studies 17, 134-165.",http://link.springer.com/content/pdf/10.1007%2Fs11142-011-9168-1.pdf,1_clear,similar,NA,basically a component of earnings surpise (Tab 6 and Eq2)
